LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,5696408,15123050,20819458,76051342,70922618,146973960,81747750,86045668,167793418,0,0,0
KLIA2,1025604,2219162,3244766,7036028,3713549,10749577,8061632,5932711,13994343,0,0,0
PULAU PINANG ,1839626,1772758,3612384,13726108,20194926,33921034,15565734,21967684,37533418,19621,2878625,2898246
KOTA KINABALU,9958051,4145370,14103421,1080937,1183790,2264727,11038988,5329160,16368148,446605,36863,483468
KUCHING,10959357,2965602,13924959,9637,582371,592008,10968994,3547973,14516967,329654,267933,597587
LANGKAWI,47666,39717,87383,2730,2730,5460,50396,42447,92843,0,0,0
JOHOR BAHRU,406770,383427,790197,85928,108328,194256,492698,491755,984453,0,0,0
KOTA BHARU,97411,74178,171589,0,0,0,97411,74178,171589,0,0,0
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,42051,33274,75325,0,0,0,42051,33274,75325,0,0,0
ALOR SETAR,42733,40234,82967,0,0,0,42733,40234,82967,110,0,110
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,1440301,5354299,6794600,7286747,5476413,12763160,8727048,10830712,19557760,0,0,0
KUANTAN,189,1,190,0,0,0,189,1,190,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,238,0,238,0,0,0,238,0,238,0,0,0
LABUAN,530676,229537,760213,0,12865,12865,530676,242402,773078,160598,185790,346388
LAHAD DATU,19390,15149,34539,0,0,0,19390,15149,34539,0,0,0
SANDAKAN,148138,248072,396210,0,0,0,148138,248072,396210,510,0,510
TAWAU,1041306,1839006,2880312,0,142528,142528,1041306,1981534,3022840,0,14362,14362
BINTULU,125111,14259,139370,90340,0,90340,215451,14259,229710,0,0,0
MIRI,1564882,319959,1884841,0,0,0,1564882,319959,1884841,1007,0,1007
SIBU,131089,42305,173394,0,0,0,131089,42305,173394,0,0,0
MULU,44108,87,44195,0,0,0,44108,87,44195,0,0,0
LIMBANG,63702,26596,90298,0,0,0,63702,26596,90298,0,0,0
MUKAH,4320,542,4862,0,0,,4320,542,4862,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,24073,79898,103971,0,0,0,24073,79898,103971,22839,0,22839
SEMENANJUNG                         Peninsular,10638997,25040100,35679097,104188883,100418564,204607447,114827880,125458664,240286544,19731,2878625,2898356
SABAH ,11697561,6477134,18174695,1080937,1339183,2420120,12778498,7816317,20594815,607713,237015,844728
SARAWAK,12916642,3449248,16365890,99977,582371,682348,13016619,4031619,17048238,353500,267933,621433
"JUMLAH                                     
Total ",35253200,34966482,70219682,105369797,102340118,207709915,140622997,137306600,277929597,980944,3383573,4364517
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
