Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,KILOGRAM
LAPANGAN TERBANG Airport,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA Third Quarter,SUKU KEEMPAT Fourth Quarter
KLIA,134417837,,,
KLIA2,3177843,,,
PULAU PINANG ,33879731,,,
KOTA KINABALU,13621619,,,
KUCHING,11144836,,,
LANGKAWI,46609,,,
JOHOR BAHRU,1068976,,,
KOTA BHARU,80667,,,
IPOH,0,,,
KUALA TERENGGANU,28084,,,
ALOR SETAR,31484,,,
MELAKA,0,,,
SUBANG,14750924,,,
KUANTAN,72,,,
TIOMAN,0,,,
PANGKOR,0,,,
REDANG,0,,,
LABUAN,321142,,,
LAHAD DATU,49109,,,
SANDAKAN,240019,,,
TAWAU,3986627,,,
BINTULU,53256,,,
MIRI,1487193,,,
SIBU,661634,,,
MULU,11098,,,
LIMBANG,86394,,,
STOL SABAH,0,,,
STOL SARAWAK,74052,,,
"SEMENANJUNG                         
Peninsular",187482227,0,0,0
SABAH ,18218516,0,0,0
SARAWAK,13518463,0,0,0
"JUMLAH                                     
Total ",219219206,0,0,0
,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,
