LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9
,,,,,,,,,
,"BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total"
,,,,,,,,,
,,,,,,,,,
KLIA,3112,11,3123,7269,1484,8753,10381,1495,11876
KLIA2,1175,5,1180,797,363,1160,1972,368,2340
PULAU PINANG ,1369,0,1369,1670,0,1670,3039,0,3039
KOTA KINABALU,2225,1561,3786,184,113,297,2409,1674,4083
KUCHING,2737,574,3311,126,5,131,2863,579,3442
LANGKAWI,452,0,452,0,0,0,452,0,452
JOHOR BAHRU,710,1010,1720,0,83,83,710,1093,1803
KOTA BHARU,1314,488,1802,2,0,2,1316,488,1804
IPOH,0,62,62,62,0,62,62,62,124
KUALA TERENGGANU,596,24,620,0,0,0,596,24,620
ALOR SETAR,564,0,564,0,0,0,564,0,564
MELAKA,0,0,0,0,0,0,0,0,0
SUBANG,4040,158,4198,582,18,600,4622,176,4798
KUANTAN,38,0,38,0,0,0,38,0,38
TIOMAN,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0
REDANG,32,0,32,0,0,0,32,0,32
LABUAN,528,160,688,3,0,3,531,160,691
LAHAD DATU,380,12,392,0,0,0,380,12,392
SANDAKAN,532,43,575,0,0,0,532,43,575
TAWAU,977,40,1017,16,2,18,993,42,1035
BINTULU,410,216,626,0,0,0,410,216,626
MIRI,3034,1173,4207,0,2,2,3034,1175,4209
SIBU,574,0,574,0,0,0,574,0,574
MULU,92,54,146,0,0,0,92,54,146
LIMBANG,454,22,476,0,0,0,454,22,476
MUKAH,108,0,108,0,0,0,108,0,108
STOL SABAH,0,0,0,0,0,0,0,0,0
STOL SARAWAK,3257,208,3465,0,0,0,3257,208,3465
SEMENANJUNG                         Peninsular,13402,1758,15160,10382,1948,12330,23784,3706,27490
,,,,,,,,,
SABAH ,4642,1816,6458,203,115,318,4845,1931,6776
SARAWAK,10666,2247,12913,126,7,133,10792,2254,13046
"JUMLAH                                     
Total ",28710,5821,34531,10711,2070,12781,39421,7891,47312
,,,,,,,,,
,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,
