LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9
,,,,,,,,,
,"BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total"
,,,,,,,,,
,,,,,,,,,
KLIA,2737,32,2769,8116,1613,9729,10853,1645,12498
KLIA2,490,96,586,596,541,1137,1086,637,1723
PULAU PINANG ,1008,0,1008,1717,0,1717,2725,0,2725
KOTA KINABALU,1735,1473,3208,189,143,332,1924,1616,3540
KUCHING,2743,887,3630,229,11,240,2972,898,3870
LANGKAWI,702,0,702,0,0,0,702,0,702
JOHOR BAHRU,400,452,852,0,90,90,400,542,942
KOTA BHARU,830,456,1286,0,0,0,830,456,1286
IPOH,14,80,94,130,0,130,144,80,224
KUALA TERENGGANU,378,27,405,0,0,0,378,27,405
ALOR SETAR,318,0,318,0,0,0,318,0,318
MELAKA,0,0,0,0,0,0,0,0,0
SUBANG,2961,103,3064,591,87,678,3552,190,3742
KUANTAN,24,4,28,0,0,0,24,4,28
TIOMAN,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0
REDANG,22,0,22,0,0,0,22,0,22
LABUAN,421,202,623,33,0,33,454,202,656
LAHAD DATU,400,14,414,0,0,0,400,14,414
SANDAKAN,309,29,338,0,1,1,309,30,339
TAWAU,696,50,746,22,0,22,718,50,768
BINTULU,409,251,660,0,0,0,409,251,660
MIRI,3140,1280,4420,0,2,2,3140,1282,4422
SIBU,574,0,574,0,0,0,574,0,574
MULU,78,8,86,0,0,0,78,8,86
LIMBANG,482,64,546,0,0,0,482,64,546
MUKAH,678,0,678,0,0,0,678,0,678
STOL SABAH,0,0,0,0,0,0,0,0,0
STOL SARAWAK,2664,106,2770,0,0,0,2664,106,2770
SEMENANJUNG                         Peninsular,9884,1250,11134,11150,2331,13481,21034,3581,24615
,,,,,,,,,
SABAH ,3561,1768,5329,244,144,388,3805,1912,5717
SARAWAK,10768,2596,13364,229,13,242,10997,2609,13606
"JUMLAH                                     
Total ",24213,5614,29827,11623,2488,14111,35836,8102,43938
,,,,,,,,,
,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,
