LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9
,,,,,,,,,
,"BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total","BERJADUAL 
Scheduled","TIDAK BERJADUAL 
Non Scheduled","JUMLAH 
Total"
,,,,,,,,,
,,,,,,,,,
KLIA,2769,21,2790,6813,1519,8332,9582,1540,11122
KLIA2,1816,5,1821,603,187,790,2419,192,2611
PULAU PINANG ,1575,0,1575,1761,0,1761,3336,0,3336
KOTA KINABALU,1904,1392,3296,174,0,174,2078,1392,3470
KUCHING,2865,482,3347,109,8,117,2974,490,3464
LANGKAWI,1012,0,1012,0,0,0,1012,0,1012
JOHOR BAHRU,719,1442,2161,0,174,174,719,1616,2335
KOTA BHARU,1458,522,1980,0,0,0,1458,522,1980
IPOH,32,142,174,22,7,29,54,149,203
KUALA TERENGGANU,568,27,595,0,0,0,568,27,595
ALOR SETAR,562,0,562,0,0,0,562,0,562
MELAKA,0,0,0,0,0,0,0,0,0
SUBANG,3865,0,3865,484,0,484,4349,0,4349
KUANTAN,32,0,32,0,0,0,32,0,32
TIOMAN,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0
REDANG,31,0,31,0,0,0,31,0,31
LABUAN,454,246,700,8,0,8,462,246,708
LAHAD DATU,314,34,348,0,0,0,314,34,348
SANDAKAN,484,29,513,0,1,1,484,30,514
TAWAU,956,46,1002,4,0,4,960,46,1006
BINTULU,495,240,735,1,0,1,496,240,736
MIRI,2756,1295,4051,0,4,4,2756,1299,4055
SIBU,636,0,636,0,0,0,636,0,636
MULU,66,6,72,0,0,0,66,6,72
LIMBANG,418,60,478,0,0,0,418,60,478
STOL SABAH,0,0,0,0,0,0,0,0,0
STOL SARAWAK,2964,176,3140,0,0,0,2964,176,3140
SEMENANJUNG                         Peninsular,14439,2159,16598,9683,1887,11570,24122,4046,28168
,,,,,,,,,
SABAH ,4112,1747,5859,186,1,187,4298,1748,6046
SARAWAK,10200,2259,12459,110,12,122,10310,2271,12581
"JUMLAH                                     
Total ",28751,6165,34916,9979,1900,11879,38730,8065,46795
,,,,,,,,,
,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,
