LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DIHANTAR 
Unloaded","DIANGKUT 
Loaded","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARA-BANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,2,5684,5686,2310145,1651846,3961991,2310147,1657530,3967677,0,38357,38357
KLIA2,0,0,0,0,0,0,0,0,0,0,0,0
PULAU PINANG ,0,0,0,0,1,1,0,1,1,878,0,878
KOTA KINABALU,570,468,1038,0,0,0,570,468,1038,0,768,768
KUCHING,63,1239,1302,0,0,0,63,1239,1302,158,17508,17666
LANGKAWI,0,2,2,0,0,0,0,2,2,0,0,0
JOHOR BAHRU,244090,117516,361606,467692,218072,685764,711782,335588,1047370,0,0,0
KOTA BHARU,0,0,0,0,0,0,0,0,0,0,0,0
IPOH,0,0,0,0,0,0,0,0,0,0,0,0
KUALA TERENGGANU,0,0,0,0,0,0,0,0,0,0,0,0
ALOR SETAR,0,0,0,0,0,0,0,0,0,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,0,0,0,0,0,0,0,0,0,0,0,0
KUANTAN,0,0,0,0,0,0,0,0,0,0,0,0
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,0,0,0,0,0,0,0,0,0,0,0,0
LABUAN,468,395,863,0,0,0,468,395,863,0,0,0
LAHAD DATU,0,0,0,0,0,0,0,0,0,0,0,0
SANDAKAN,0,60,60,0,0,0,0,60,60,0,0,0
TAWAU,60,5,65,0,0,0,60,5,65,0,3338,3338
BINTULU,0,0,0,0,0,0,0,0,0,0,0,0
MIRI,37,3279,3316,0,0,0,37,3279,3316,5,0,5
SIBU,0,0,0,0,0,0,0,0,0,0,0,0
MULU,1454,18,1472,0,0,0,1454,18,1472,0,0,0
LIMBANG,0,94,94,0,0,0,0,94,94,0,0,0
MUKAH,0,6,6,0,0,0,,,,0,0,
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,0,0,0,0,0,0,0,0,0,0,0,0
SEMENANJUNG                         Peninsular,244092,123202,367294,2777837,1869919,4647756,3021929,1993121,5015050,878,38357,39235
SABAH ,1098,928,2026,0,0,0,1098,928,2026,0,4106,4106
SARAWAK,1554,4636,6190,0,0,0,1554,4630,6184,163,17508,17671
"JUMLAH                                     
Total ",246744,128766,375510,2777837,1869919,4647756,3024581,1998679,5023260,1041,59971,61012
,,,,,,,,,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,,,,,,,,,
