Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,KILOGRAM
LAPANGAN TERBANG Airport,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA Third Quarter,SUKU KEEMPAT Fourth Quarter
KLIA,134417837,142601913.57,148791612.46064517,167793419
KLIA2,3177843,6315225.551,8459946.2378,13994343
PULAU PINANG ,33879731,32840835,32398292.4,37533418
KOTA KINABALU,13621619,13957062.478219355,14998882.4,16368148
KUCHING,11144836,11739240.8,14534217,14516968
LANGKAWI,46609,38380,36381,92843
JOHOR BAHRU,1068976,668191,558992,984453
KOTA BHARU,80667,106595,81665,171589
IPOH,0,0,0,0
KUALA TERENGGANU,28084,46287,38403,75325
ALOR SETAR,31484,45000,37872,82967
MELAKA,0,0,0,0
SUBANG,14750924,17249984.45868,20230513.6973,19557759
KUANTAN,72,17,0,190
TIOMAN,0,0,0,0
PANGKOR,0,0,0,0
REDANG,0,0,828,238
LABUAN,321142,400897.41161290323,655533.99,773077
LAHAD DATU,49109,38131,36445,34539
SANDAKAN,240019,302026,119241,396210
TAWAU,3986627,4340506,3470794,3022840
BINTULU,53256,51340,46714,229710
MIRI,1487193,1659973,2130110,1884841
SIBU,661634,733123.64,64818,173394
MULU,11098,26643,26272,44195
LIMBANG,86394,72660,66081,90298
MUKAH,0,0,5469,4862
STOL SABAH,0,0,0,0
STOL SARAWAK,74052,69472.44838709678,114867.29000000001,103972
"SEMENANJUNG                         
Peninsular",187482227,199912428.57968,210634505.79574516,240286544
SABAH ,18218516,19038622.88983226,19280896.39,20594814
SARAWAK,13518463,14352452.888387099,16988548.29,17048240
"JUMLAH                                     
Total ",219219206,233303504.35789937,246903950.47574517,277929598
,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,
