Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,KILOGRAM
"LAPANGAN TERBANG
 Airports",SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA     Third Quarter,SUKU KEEMPAT     Fourth Quarter
KLIA,3758067,,,
KLIA2,0,,,
PULAU PINANG ,91,,,
KOTA KINABALU,13925,,,
KUCHING,141,,,
LANGKAWI,0,,,
JOHOR BAHRU,1412039,,,
KOTA BHARU,0,,,
IPOH,0,,,
KUALA TERENGGANU,0,,,
ALOR SETAR,0,,,
MELAKA,0,,,
SUBANG,0,,,
KUANTAN,0,,,
TIOMAN,0,,,
PANGKOR,0,,,
REDANG,0,,,
LABUAN,1563,,,
LAHAD DATU,0,,,
SANDAKAN,157,,,
TAWAU,152,,,
BINTULU,4,,,
MIRI,2461,,,
SIBU,4,,,
MULU,598,,,
LIMBANG,750,,,
STOL SABAH,0,,,
STOL SARAWAK,0,,,
"SEMENANJUNG                         
Peninsular",5170197,0,0,0
SABAH ,15797,0,0,0
SARAWAK,3958,0,0,0
"JUMLAH                                     
Total ",5189952,0,0,0
,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,
