LAPANGAN TERBANG Airport,SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA Third Quarter,SUKU KEEMPAT Fourth Quarter
KLIA,304034.0,,,
KLIA2,267752.0,,,
PULAU PINANG ,75996.0,,,
KOTA KINABALU,164050.0,,,
KUCHING,133594.0,,,
LANGKAWI,78095.0,,,
JOHOR BAHRU,45374.0,,,
KOTA BHARU,89670.0,,,
IPOH,4912.0,,,
KUALA TERENGGANU,26803.0,,,
ALOR SETAR,24355.0,,,
MELAKA,0.0,,,
SUBANG,114260.0,,,
KUANTAN,1483.0,,,
TIOMAN,0.0,,,
PANGKOR,0.0,,,
REDANG,474.0,,,
LABUAN,27155.0,,,
LAHAD DATU,9412.0,,,
SANDAKAN,39139.0,,,
TAWAU,71322.0,,,
BINTULU,33224.0,,,
MIRI,89263.0,,,
SIBU,33294.0,,,
MULU,1271.0,,,
LIMBANG,19016.0,,,
STOL SABAH,0.0,,,
STOL SARAWAK,21802.0,,,
"SEMENANJUNG                     Peninsular    
",1033208.0,0.0,0.0,0.0
SABAH ,311078.0,0.0,0.0,0.0
SARAWAK,331464.0,0.0,0.0,0.0
"JUMLAH                        Total              
",1675750.0,0.0,0.0,0.0
,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,
