LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARABANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,53562,51849,105411,57350,141273,198623,110912,193122,304034,0,24428,24428
KLIA2 ,118976,108442,227418,4131,36203,40334,123107,144645,267752,0,0,0
PULAU PINANG ,34384,36703,71087,1512,3397,4909,35896,40100,75996,0,0,0
KOTA KINABALU,82729,81321,164050,0,0,0,82729,81321,164050,1558,0,1558
KUCHING,66600,65026,131626,1264,704,1968,67864,65730,133594,0,187,187
LANGKAWI,33983,44112,78095,0,0,0,33983,44112,78095,144,0,144
JOHOR BAHRU,22642,22732,45374,0,0,0,22642,22732,45374,0,14,14
KOTA BHARU,42256,47414,89670,0,0,0,42256,47414,89670,51,0,51
IPOH,2010,2044,4054,465,393,858,2475,2437,4912,0,0,0
KUALA TERENGGANU,12782,14021,26803,0,0,0,12782,14021,26803,33,0,33
ALOR SETAR,11324,13031,24355,0,0,0,11324,13031,24355,0,0,0
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,59886,54374,114260,0,0,0,59886,54374,114260,0,0,0
KUANTAN,581,902,1483,0,0,0,581,902,1483,26,0,26
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,208,266,474,0,0,0,208,266,474,0,0,0
LABUAN,15397,11758,27155,0,0,0,15397,11758,27155,151,0,151
LAHAD DATU,4692,4720,9412,0,0,0,4692,4720,9412,0,0,0
SANDAKAN,19984,19152,39136,3,0,3,19987,19152,39139,123,0,123
TAWAU,35475,35843,71318,4,0,4,35479,35843,71322,42,0,42
BINTULU,16863,16361,33224,0,0,0,16863,16361,33224,0,0,0
MIRI,43871,45308,89179,0,84,84,43871,45392,89263,0,0,0
SIBU,15695,17599,33294,0,0,0,15695,17599,33294,0,0,0
MULU,630,641,1271,0,0,0,630,641,1271,0,0,0
LIMBANG,9317,9699,19016,0,0,0,9317,9699,19016,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,10936,10866,21802,0,0,0,10936,10866,21802,720,0,720
SEMENANJUNG                         Peninsular,392594,395890,788484,63458,181266,244724,456052,577156,1033208,254,24442,24696
SABAH ,158277,152794,311071,7,0,7,158284,152794,311078,1874,0,1874
SARAWAK,163912,165500,329412,1264,788,2052,165176,166288,331464,720,187,907
"JUMLAH                                     
Total ",714783,714184,1428967,64729,182054,246783,779512,896238,1675750,2848,24629,27477
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
