LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARABANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,51452,53687,105139,56900,154343,211243,108352,208030,316382,0,11639,11639
KLIA2 ,28956,33315,62271,3652,23601,27253,32608,56916,89524,0,0,0
PULAU PINANG ,9763,11489,21252,1724,2206,3930,11487,13695,25182,475,0,475
KOTA KINABALU,41965,41355,83320,0,0,0,41965,41355,83320,4234,0,4234
KUCHING,37380,36926,74306,1083,370,1453,38463,37296,75759,0,66,66
LANGKAWI,29515,23315,52830,0,0,0,29515,23315,52830,130,0,130
JOHOR BAHRU,5897,6258,12155,68,20,88,5965,6278,12243,0,4,4
KOTA BHARU,19249,18790,38039,0,0,0,19249,18790,38039,293,0,293
IPOH,495,635,1130,435,320,755,930,955,1885,0,0,0
KUALA TERENGGANU,5221,5492,10713,0,0,0,5221,5492,10713,282,0,282
ALOR SETAR,4027,3780,7807,0,0,0,4027,3780,7807,89,0,89
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,36143,36484,72627,20,18,38,36163,36502,72665,0,0,0
KUANTAN,179,334,513,0,0,0,179,334,513,158,0,158
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,0,0,0,0,0,0,0,0,0,0,0
REDANG,153,146,299,0,0,0,153,146,299,0,0,0
LABUAN,5922,6052,11974,0,0,0,5922,6052,11974,276,0,276
LAHAD DATU,4394,4396,8790,0,0,0,4394,4396,8790,0,0,0
SANDAKAN,9460,9369,18829,4,0,4,9464,9369,18833,89,0,89
TAWAU,17789,17628,35417,0,0,0,17789,17628,35417,31,0,31
BINTULU,7210,7180,14390,0,0,0,7210,7180,14390,12,0,12
MIRI,36805,36137,72942,6,0,6,36811,36137,72948,315,0,315
SIBU,11616,11801,23417,0,0,0,11616,11801,23417,2,0,2
MULU,618,601,1219,0,0,0,618,601,1219,0,0,0
LIMBANG,8343,8361,16704,0,0,0,8343,8361,16704,0,0,0
MUKAH,3174,3307,6481,0,0,0,3174,3307,6481,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,8797,8839,17636,0,0,0,8797,8839,17636,933,0,933
SEMENANJUNG                         Peninsular,191050,193725,384775,62799,180508,243307,253849,374233,628082,1427,11643,13070
SABAH ,79530,78800,158330,4,0,4,79534,78800,158334,4630,0,4630
SARAWAK,113943,113152,227095,1089,370,1459,115032,113522,228554,1262,66,1328
"JUMLAH                                     
Total ",384523,385677,770200,63892,180878,244770,448415,566555,1014970,7319,11709,19028
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
