LAPANGAN TERBANG Airports,"DALAM NEGERI                               
Domestic",Unnamed: 2,Unnamed: 3,"ANTARABANGSA                               
International",Unnamed: 5,Unnamed: 6,"JUMLAH                                                         
Total",Unnamed: 8,Unnamed: 9,"TRANSIT                                                         
Transit",Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,"KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","KETIBAAN 
Arrival","BERLEPAS 
Departure","JUMLAH 
Total","DALAM NEGERI 
Domestic","ANTARABANGSA 
International","JUMLAH 
Total"
,,,,,,,,,,,,
,,,,,,,,,,,,
KLIA,340110,345492,685602,185586,306036,491622,525696,651528,1177224,0,19043,19043
KLIA2 ,629264,630746,1260010,23500,43938,67438,652764,674684,1327448,0,0,0
PULAU PINANG ,189392,190654,380046,3645,3860,7505,193037,194514,387551,1230,0,1230
KOTA KINABALU,358310,346791,705101,12,0,12,358322,346791,705113,3529,0,3529
KUCHING,273921,262699,536620,1732,1054,2786,275653,263753,539406,0,0,0
LANGKAWI,310200,302845,613045,205,28,233,310405,302873,613278,136,0,136
JOHOR BAHRU,136648,144152,280800,0,25,25,136648,144177,280825,0,269,269
KOTA BHARU,156323,155266,311589,0,0,0,156323,155266,311589,112,0,112
IPOH,12354,12612,24966,1111,1094,2205,13465,13706,27171,0,0,0
KUALA TERENGGANU,51758,52697,104455,0,0,0,51758,52697,104455,446,0,446
ALOR SETAR,57101,58138,115239,0,0,0,57101,58138,115239,500,0,500
MELAKA,0,0,0,0,0,0,0,0,0,0,0,0
SUBANG,132804,134674,267478,134,118,252,132938,134792,267730,0,0,0
KUANTAN,9018,8856,17874,0,0,0,9018,8856,17874,71,0,71
TIOMAN,0,0,0,0,0,0,0,0,0,0,0,0
PANGKOR,0,2,2,0,0,0,0,2,2,0,0,0
REDANG,545,567,1112,0,0,0,545,567,1112,0,0,0
LABUAN,41741,42690,84431,0,0,0,41741,42690,84431,34,0,34
LAHAD DATU,10257,11202,21459,0,0,0,10257,11202,21459,0,0,0
SANDAKAN,71765,75919,147684,0,0,0,71765,75919,147684,0,0,0
TAWAU,124534,128923,253457,0,0,0,124534,128923,253457,103,0,103
BINTULU,50135,52159,102294,0,0,0,50135,52159,102294,0,0,0
MIRI,132078,138014,270092,0,0,0,132078,138014,270092,421,0,421
SIBU,81186,78253,159439,0,0,0,81186,78253,159439,6,0,6
MULU,3747,3765,7512,0,0,0,3747,3765,7512,0,0,0
LIMBANG,17589,17752,35341,0,0,0,17589,17752,35341,0,0,0
MUKAH,5065,5243,10308,0,0,0,5065,5243,10308,0,0,0
STOL SABAH,0,0,0,0,0,0,0,0,0,0,0,0
STOL SARAWAK,11532,11992,23524,0,0,0,11532,11992,23524,976,0,976
SEMENANJUNG                         Peninsular,2025517,2036701,4062218,214181,355099,569280,2239698,2391800,4631498,2495,19312,21807
SABAH ,606607,605525,1212132,12,0,12,606619,605525,1212144,3666,0,3666
SARAWAK,575253,569877,1145130,1732,1054,2786,576985,570931,1147916,1403,0,1403
"JUMLAH                                     
Total ",3207377,3212103,6419480,215925,356153,572078,3423302,3568256,6991558,7564,19312,26876
,,,,,,,,,,,,
"SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB), SENAI AIRPORT TERMINAL SERVICES (SATS)",,,,,,,,,,,,
