Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,KILOGRAM
"LAPANGAN TERBANG
 Airports",SUKU PERTAMA First Quarter,SUKU KEDUA Second Quarter,SUKU KETIGA     Third Quarter,SUKU KEEMPAT     Fourth Quarter
KLIA,3758067,4277360,3967677,4353510
KLIA2,0,0,0,0
PULAU PINANG ,91,1,1,2
KOTA KINABALU,13925,519,1038,655
KUCHING,141,542,1302,785
LANGKAWI,0,0,2,0
JOHOR BAHRU,1412039,1290943,1047370,1215094
KOTA BHARU,0,3,0,53
IPOH,0,0,0,0
KUALA TERENGGANU,0,0,0,0
ALOR SETAR,0,0,0,0
MELAKA,0,0,0,0
SUBANG,0,0,0,0
KUANTAN,0,0,0,0
TIOMAN,0,0,0,0
PANGKOR,0,0,0,0
REDANG,0,0,0,0
LABUAN,1563,607,863,493
LAHAD DATU,0,0,0,0
SANDAKAN,157,44,60,667
TAWAU,152,49,65,356
BINTULU,4,7,0,66
MIRI,2461,3205,3316,15447
SIBU,4,0,0,394
MULU,598,1360,1472,1494
LIMBANG,750,72,94,98
MUKAH,0,0,6,0
STOL SABAH,0,0,0,0
STOL SARAWAK,0,0,0,0
"SEMENANJUNG                         
Peninsular",5170197,5568307,5015050,5568659
SABAH ,15797,1219,2026,2171
SARAWAK,3958,5186,6190,18284
"JUMLAH                                     
Total ",5189952,5574712,5023266,5589114
,,,,
SUMBER/ Source: MALAYSIA AIRPORTS HOLDINGS BERHAD (MAHB),,,,
